,Murder     and non- negligent man- slaughter,Forcible rape,Robbery,Aggra- vated assault,Burglary,Larceny- theft,Motor vehicle theft,Total
Scottsdale city,4,51,125,285,"1,869","4,703","1,161","8,198"
Sierra Vista city,4,11,33,75,240,"1,116",126,"1,605"
Surprise city,1,12,15,56,290,"1,332",241,"1,947"
Tempe city,4,72,326,658,"1,835","8,260","2,305","13,460"
Tucson city,55,378,"1,685","2,930","5,130","19,642","6,527","36,347"
Yuma city,10,30,76,449,749,"2,523",591,"4,428"
ARKANSAS,186,"1,193","2,531","10,749","30,143","75,348","7,284","127,434"
Conway city, -,25,41,69,425,"2,154",169,"2,883"
Fayetteville city,2,51,33,227,458,"2,338",149,"3,258"
Fort Smith city,5,95,117,648,971,"4,146",342,"6,324"
Hot Springs city,4,26,87,379,894,"3,348",286,"5,024"
Jacksonville city,1,8,58,156,431,"1,427",103,"2,184"
Jonesboro city,2,27,101,351,"1,397","2,154",168,"4,200"
Little Rock city,41,116,860,"2,276","3,803","11,409","1,110","19,615"
